"V1","dec1"
"50609","Y"
"50614","Y"
"50659","N"
"50665","N"
"50670","Y"
"50746","N"
"50787","N"
"50846","N"
"50858","N"
"50923","Y"
"50947","N"
"51021","N"
"51162","Y"
"51187","N"
"51233","N"
"51315","Y"
"51321","N"
"51458","N"
"51500","N"
"51525","Y"
"51578","N"
"51614","N"
"51621","N"
"51634","N"
"51676","N"
"51694","Y"
"51870","N"
"51889","N"
"51999","N"
"52122","Y"
"52158","N"
"52172","N"
"52212","N"
"52223","N"
"52244","N"
"52337","N"
"52423","N"
"52435","N"
"52498","N"
"52542","Y"
"52608","N"
"52613","N"
"52658","Y"
"52699","N"
"52717","Y"
"52834","N"
"52871","N"
"52896","N"
"52904","N"
"53044","N"
"53102","Y"
"53116","Y"
"53177","N"
"53210","Y"
"53226","N"
"53232","N"
"53235","N"
"53240","N"
"53269","N"
"53290","Y"
"53304","N"
"53357","N"
"53359","N"
"53379","N"
"53425","Y"
"53595","Y"
"53691","N"
"53706","N"
"53732","N"
"3794","N"
"3927","N"
"3932","Y"
"3973","N"
"4073","N"
"4164","N"
"4278","N"
"4342","N"
"4362","Y"
"4447","N"
"4469","Y"
"4540","Y"
"4590","N"
"4689","Y"
"4746","N"
"4772","Y"
"4811","Y"
"4828","N"
"4837","Y"
"4874","Y"
"4926","N"
"4968","N"
"4999","N"
"5012","Y"
"5117","N"
"5146","Y"
"5182","N"
"5206","N"
"5245","N"
"5434","N"
"5440","N"
"5451","Y"
"5467","N"
"5468","N"
"5544","Y"
"5704","N"
"5712","Y"
"5713","Y"
"5788","N"
"5805","N"
"5927","N"
"5987","Y"
"5997","N"
"5999","N"
"6009","N"
"6020","N"
"6123","N"
"6164","Y"
"6174","Y"
"6225","N"
"6279","Y"
"6309","N"
"6326","Y"
"6387","N"
"6445","N"
"6481","N"
"6487","N"
"6621","N"
"6628","N"
"6674","Y"
"6714","Y"
"6726","N"
"6730","N"
"6787","N"
"6861","N"
"6912","N"
"6935","Y"
"6964","Y"
"6973","N"
"7017","N"
"7215","N"
"7378","N"
"7409","N"
"7472","N"
"7521","N"
"7549","N"
"7637","Y"
"7723","N"
"7776","Y"
"7781","N"
"7804","Y"
"7853","N"
"7935","N"
"7991","N"
"8022","N"
"8075","N"
"8100","N"
"8156","N"
"8157","N"
"8356","Y"
"8383","Y"
"8496","N"
"8518","Y"
"8529","N"
"8562","N"
"8693","Y"
"8722","N"
"8728","N"
"8766","N"
"8793","N"
"8804","Y"
"8874","N"
"8875","N"
"8910","N"
"8923","N"
"8945","N"
"8971","N"
"9108","N"
"9124","N"
"9147","N"
"9212","N"
"9238","N"
