"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"1","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"WHAT DO YOU MEME? Incohearent - Adult Party Game","WHAT DO YOU MEME?","B07QSCQMXV",19.99,NA,NA,NA,NA,0.0818181818181818
"2","Toys & Games","Stuffed Animals & Plush Toys",NA,NA,NA,NA,NA,"Limited Edition Golden Disney Mickey Mouse Plush","Disney Year of the Mouse","B07Z8R7BG3",29.99,NA,NA,NA,NA,0.0818181818181818
"3","Toys & Games","Games & Accessories","Dice Games",NA,NA,NA,NA,"LCR® Left Center Right™ Dice Game - Blue Tin","George & Company LLC","B003I64OT6",8.23,NA,NA,NA,NA,0.0818181818181818
"7","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras",NA,NA,NA,"Wyze Cam 1080p HD Indoor Wireless Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, One Pack, White - WYZEC2","Wyze Labs","B076H3SRXG",23.99,NA,NA,NA,NA,0.0818181818181818
"8","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night Vision, 2-Way Audio, Works with Alexa & the Google Assistant, White - WYZECP1","Wyze Labs","B07DGR98VQ",34.99,NA,NA,NA,NA,0.0818181818181818
"9","Electronics","Camera & Photo","Film Photography","Film Cameras",NA,NA,NA,"Fujifilm Instax Mini Instant Film, 10 Sheets<U+00D7>5 Pack(Total 50 Shoots)","Fujifilm","B015IY34FA",32.35,NA,NA,NA,NA,0.0818181818181818
"10","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$10 PlayStation Store Gift Card [Digital Code]","Playstation","B00GAC1D2G",237.41,NA,NA,NA,NA,0.0818181818181818
"11","Video Games","Online Game Services","Nintendo eShop","Store Currency & Points Cards",NA,NA,NA,"$10 Nintendo eShop Gift Card [Digital Code]","Nintendo","B01LZNGPY3",87.04,NA,NA,NA,NA,0.0818181818181818
"12","Video Games","Online Game Services","Nintendo eShop","Store Currency & Points Cards",NA,NA,NA,"$10 Nintendo eShop Gift Card [Digital Code]","Nintendo","B07ZJ6RY1W",93.17,NA,NA,NA,NA,0.0818181818181818
"13","Video Games","Online Game Services","Xbox Live","Store Currency Cards",NA,NA,NA,"$10 Xbox Gift Card [Digital Code]","Microsoft","B00F4CEHNK",305.26,NA,NA,NA,NA,0.0818181818181818
"14","Clothing, Shoes & Jewelry","Women","Clothing","Jeans",NA,NA,NA,"Signature by Levi Strauss & Co. Gold Label Women's Totally Shaping Pull-on Skinny Jeans",NA,"B07LCRWST8",24.56,NA,NA,NA,NA,10
"15","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B072LZTRVC",10.99,NA,NA,NA,NA,2.5
"16","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B07PBY2Y5V",10.99,NA,NA,NA,NA,2.5
"17","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YJ578H",19.96,NA,NA,NA,NA,0.0818181818181818
"18","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07VD1Y4JD",19.96,NA,NA,NA,NA,0.0818181818181818
"20","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"WHAT DO YOU MEME? Party Game","WHAT DO YOU MEME?","B01MRG7T0D",29.99,NA,NA,NA,NA,0.0818181818181818
"21","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"New Phone, Who Dis? - Adult Party Game by What Do You Meme?","WHAT DO YOU MEME?","B07PZF5C2J",23.79,NA,NA,NA,NA,0.0818181818181818
"22","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"WHAT DO YOU MEME? NSFW Expansion Deck","WHAT DO YOU MEME?","B07L8NRH91",12.92,NA,NA,NA,NA,0.0818181818181818
"23","Toys & Games","Games & Accessories","Card Games",NA,NA,NA,NA,"That's What She Said - The Party Game of Twisted Innuendos","That's What She Said","B01M4S54JJ",24.99,NA,NA,NA,NA,0.0818181818181818
"26","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Accident Protection for Fire TV Stick 4K (2018 release)","SquareTrade","B07G1PQFBZ",7.99,NA,NA,NA,NA,0.625
"27","Electronics","Accessories & Supplies","Audio & Video Accessories","Remote Controls & Accessories","Remote Controls",NA,NA,"Made for Amazon All-New Third Reality Remote Plus for Alexa Voice Remote (2nd Gen)","THIRDREALITY","B07XNVLPDW",19.99,NA,NA,NA,NA,0.0818181818181818
"29","Electronics","Accessories & Supplies","Batteries, Chargers & Accessories","AC Adapters",NA,NA,NA,"""Made for Amazon"" Mission USB Power Cable for Amazon Fire TV 4K (Eliminates the Need for AC Adapter)","Mission Cables","B078KSHVCS",19.99,0.21875,1.9,1,4.7,2
"30","Electronics","Accessories & Supplies","Audio & Video Accessories","Cables & Interconnects","Video Cables","HDMI Cables",NA,"AmazonBasics High-Speed Male to Female HDMI Extension Cable - 6 Feet","AmazonBasics","B01D5H90L4",6.99,NA,NA,NA,NA,0.0818181818181818
"55","Electronics","Television & Video","Televisions",NA,NA,NA,NA,"Insignia NS-24DF310NA19 24-inch 720p HD Smart LED TV- Fire TV Edition","INSIGNIA","B07FPRZ69X",129.99,NA,NA,NA,NA,0.0818181818181818
"85","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Accident Protection for Fire TV Stick 4K (2018 release)","SquareTrade","B07G23D9DK",9.99,NA,NA,NA,NA,0.416666666666667
"89","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Protection Plan for Fire TV Stick with all-new Alexa Voice Remote, streaming media player (2019 release)","SquareTrade","B01IQEADEE",4.99,NA,NA,NA,NA,0.588235294117647
"90","Electronics","Accessories & Supplies","Audio & Video Accessories","Cables & Interconnects",NA,NA,NA,"""Made for Amazon"" Mission Cables USB Power Cable for Amazon Fire TV Stick (Eliminate the need for AC Adapter)","Mission Cables","B07319K943",18.99,NA,NA,NA,NA,0.0818181818181818
"91","Amazon Devices & Accessories","Amazon Device Accessories","Mounts",NA,NA,NA,NA,"""Made for Amazon"" Sanus Low Profile Tilting TV Wall Mount Bracket for 40""-70"" TVs - Universal Design is Compatible with Fire TV Editions, TCL, Samsung & More","Sanus","B06XDSYY4S",69.99,7.7,NA,NA,NA,0.416666666666667
"93","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Protection Plan for Fire TV Stick with all-new Alexa Voice Remote, streaming media player (2019 release)","SquareTrade","B01IQEADVC",7.99,NA,NA,NA,NA,0.4
"94","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Baby Monitor, Lefun Wireless IP Security Camera WiFi Surveillance Pet Camera with Cloud Storage Two Way Audio Remote Viewing Pan Tilt Zoom Night Vision Motion Detect for Indoor Home Shop Office","Lefun","B07DFFJPHT",28.99,NA,NA,NA,NA,0.0818181818181818
"95","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Wyze Cam Pan 1080p Pan/Tilt/Zoom Indoor Smart Home Camera with Wyze 32GB MicroSD Card Class 10","Wyze Labs","B07F6D5N7P",49.12,NA,NA,NA,NA,0.0818181818181818
"96","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Wyze Cam Pan 1080p Pan/Tilt/Zoom with Wyze Cam v2 1080p Indoor Smart Home Camera",NA,"B07F6KPC8F",58.98,NA,NA,NA,NA,0.0818181818181818
"97","Electronics","Camera & Photo","Video Surveillance","Surveillance Cameras","Dome Cameras",NA,NA,"Wansview Wireless Security Camera, IP Camera 1080P HD, WiFi Home Indoor Camera for Baby/Pet/Nanny, Motion Detection, 2 Way Audio Night Vision, Works with Alexa, with TF Card Slot and Cloud","wansview","B07QKXM2D3",34.99,NA,NA,NA,NA,0.0818181818181818
"98","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$100 PlayStation Store Gift Card [Digital Code]","Playstation","B00K59HKIQ",78.98,NA,NA,NA,NA,0.0818181818181818
"99","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$20 PlayStation Store Gift Card [Digital Code]","Playstation","B004RMK4BC",348.22,NA,NA,NA,NA,0.0818181818181818
"100","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$25 PlayStation Store Gift Card [Digital Code]","Playstation","B07C438TMN",85.44,NA,NA,NA,NA,0.0818181818181818
"102","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$60 PlayStation Store Gift Card [Digital Code]","Playstation","B00XJZHJCA",255.78,NA,NA,NA,NA,0.0818181818181818
"103","Video Games","Online Game Services","PlayStation Network","Store Currency Cards",NA,NA,NA,"$75 PlayStation Store Gift Card [Digital Code]","Playstation","B00K59HHHU",82.9,NA,NA,NA,NA,0.0818181818181818
"104","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B071JYV6VP",10.99,NA,NA,NA,NA,2.5
"105","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B072MRCL75",10.99,NA,NA,NA,NA,2.5
"106","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B0721C1H5G",10.99,NA,NA,NA,NA,2.5
"107","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B072K69V2W",10.99,NA,NA,NA,NA,2.5
"108","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B071JYV6MZ",10.99,NA,NA,NA,NA,2.5
"109","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B071WWXL63",10.99,NA,NA,NA,NA,2.5
"110","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM2V8I",10.99,NA,NA,NA,NA,2.5
"111","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM3XM6",10.99,NA,NA,NA,NA,2.5
"112","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM3G6E",10.99,NA,NA,NA,NA,2.5
"113","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM42L2",10.99,NA,NA,NA,NA,2.5
"114","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM3BSM",10.99,NA,NA,NA,NA,2.5
"115","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM36R8",10.99,NA,NA,NA,NA,2.5
"116","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B072K66STB",10.99,NA,NA,NA,NA,2.5
"117","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B0721C1SLJ",10.99,NA,NA,NA,NA,2.5
"118","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B071WWY2W7",10.99,NA,NA,NA,NA,2.5
"119","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B071WWY2WV",10.99,NA,NA,NA,NA,2.5
"120","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B00JUM489S",10.99,NA,NA,NA,NA,2.5
"121","Clothing, Shoes & Jewelry","Men","Clothing","Active","Active Hoodies",NA,NA,"Hanes Men's Pullover EcoSmart Fleece Hooded Sweatshirt",NA,"B0721C1SM4",10.99,NA,NA,NA,NA,2.5
"122","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B00V9XMTWE",19.96,NA,NA,NA,NA,0.0818181818181818
"123","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B00V9XN248",19.96,NA,NA,NA,NA,0.0818181818181818
"124","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B005SRCHBU",19.96,NA,NA,NA,NA,0.0818181818181818
"125","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B071FSPSRB",19.96,NA,NA,NA,NA,0.0818181818181818
"126","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B005SRCJ4U",19.96,NA,NA,NA,NA,0.0818181818181818
"127","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B072M6THP1",19.96,NA,NA,NA,NA,0.0818181818181818
"128","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YMDS74",19.96,NA,NA,NA,NA,0.0818181818181818
"129","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YJLRHF",19.96,NA,NA,NA,NA,0.0818181818181818
"130","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YHYDN4",19.96,NA,NA,NA,NA,0.0818181818181818
"131","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07L4KB611",19.96,NA,NA,NA,NA,0.0818181818181818
"132","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YJ578M",19.96,NA,NA,NA,NA,0.0818181818181818
"133","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B078YH54R8",19.96,NA,NA,NA,NA,0.0818181818181818
"134","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B017UXH8F4",19.96,NA,NA,NA,NA,0.0818181818181818
"135","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07L4J63QQ",19.96,NA,NA,NA,NA,0.0818181818181818
"136","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07L4913QN",19.96,NA,NA,NA,NA,0.0818181818181818
"137","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07L476TKY",19.96,NA,NA,NA,NA,0.0818181818181818
"138","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B07L4JY2RC",19.96,NA,NA,NA,NA,0.0818181818181818
"139","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Insulated Snow Pants",NA,"B072Q4Q1B9",19.96,NA,NA,NA,NA,0.0818181818181818
"140","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women",NA,"Arctix Women's Essential Insulated Bib Overalls",NA,"B00KPLEVO0",24.75,NA,NA,NA,NA,0.0818181818181818
"141","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Mountain Premium Ski Pants",NA,"B00KPLEXQG",19.96,NA,NA,NA,NA,0.0818181818181818
"142","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Snow Sports Insulated Cargo Pants",NA,"B00KPLEVN6",19.95,NA,NA,NA,NA,0.0818181818181818
"143","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Mountain Premium Cargo Snowboard Pants",NA,"B00KPLEXUC",19.96,NA,NA,NA,NA,0.0818181818181818
"144","Sports & Outdoors","Outdoor Recreation","Winter Sports","Skiing","Clothing","Women","Pants","Arctix Women's Lumi Fleece Lined Cargo Pant",NA,"B01EFL95T6",19.96,NA,NA,NA,NA,0.0818181818181818
"147","Amazon Devices & Accessories","Amazon Devices","Home Security from Amazon",NA,NA,NA,NA,"Ring Rechargeable Battery Pack","Ring","B076JKHDQT",29,NA,NA,NA,NA,0.0818181818181818
"150","Amazon Devices & Accessories","Amazon Device Accessories","Memory Cards",NA,NA,NA,NA,"""Made for Amazon"" SanDisk 128 GB micro SD Memory Card for Fire Tablets and Fire TV","SanDisk","B013TMNPBQ",20.99,0.05,0.1,0.9,1.3,0.833333333333333
"151","Amazon Devices & Accessories","Amazon Device Accessories",NA,NA,NA,NA,NA,"Alexa Voice Remote for Amazon Fire TV and Fire TV Stick (1st Gen)","Amazon","B071D41YC3",27.99,0.26875,6.5,2.2,1,2.83333333333333
"154","Amazon Devices & Accessories","Amazon Devices","Home Security from Amazon",NA,NA,NA,NA,"Ring Chime Pro, Indoor Chime and Wi-Fi Extender ONLY for Ring Network Devices","Ring","B01N9EX0YR",49.99,NA,NA,NA,NA,0.0818181818181818
"159","Electronics","Computers & Accessories","Computer Accessories & Peripherals","Cables & Interconnects","USB Cables",NA,NA,"Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers)","Amazon","B0741WGQ36",9.99,0.0875,NA,NA,NA,0.428571428571429
"163","Electronics","eBook Readers & Accessories","Power Adapters",NA,NA,NA,NA,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders - Black","Amazon","B01J2G4VBG",19.99,NA,NA,NA,NA,0.0818181818181818
"167","Amazon Devices & Accessories","Amazon Device Accessories","Memory Cards",NA,NA,NA,NA,"""Made for Amazon"" SanDisk 32 GB micro SD Memory Card for Fire Tablets and Fire TV","SanDisk","B013TMNKAW",7.99,0.05,0.1,0.9,1.3,0.714285714285714
"168","Tools & Home Improvement","Light Bulbs","LED Bulbs",NA,NA,NA,NA,"Sengled Smart LED Multicolor A19 Starter Kit, 60W Equivalent, 2 Smart Light Bulbs & Hub, RGBW Color and Tunable White 2000-6500K, Works with Alexa & Google Assistant","Sengled","B079ZLHQM9",59.49,NA,NA,NA,NA,0.0818181818181818
"169","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Accident Protection for Echo Dot (2018 release)","SquareTrade","B07G267D8S",7.99,NA,NA,NA,NA,0.0818181818181818
"173","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Accident Protection for Echo Dot (2018 release)","SquareTrade","B07G2B5G9R",4.99,NA,NA,NA,NA,0.0818181818181818
"174","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Accident Protection for Echo Dot (2018 release)","SquareTrade","B07G1ZMXQC",9.99,NA,NA,NA,NA,0.0818181818181818
"175","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Accident Protection for Echo Auto","SquareTrade","B07G1MR7MP",9.99,NA,NA,NA,NA,0.434782608695652
"176","Electronics","Computers & Accessories","Computer Accessories & Peripherals",NA,NA,NA,NA,"AmazonBasics USB 2.0 A-Male to Micro B Charger Cable, 3 feet, Black","AmazonBasics","B0711PVX6Z",4.99,NA,NA,NA,NA,0.0818181818181818
"177","Electronics","Accessories & Supplies","Audio & Video Accessories","Cables & Interconnects","Audio Cables","Stereo Jack Cables",NA,"AmazonBasics 3.5 mm Male to Male Stereo Audio Cable, 2 Feet, 0.6 Meters","AmazonBasics","B00NO73IN2",5.49,NA,NA,NA,NA,0.0818181818181818
"178","Cell Phones & Accessories","Accessories","Car Accessories",NA,NA,NA,NA,"AyAsA z100 Car Pad Non Slip Sticky Anti Slide Dash Cell Phone Mount Holder Mat Car Dashboard Sticky Pad Adhesive Mat for Cell Phone/Electronic Devices/GPS","AyAsA","B01MTXRN53",3.86,NA,NA,NA,NA,0.0818181818181818
"179","Electronics","Car & Vehicle Electronics","Vehicle Electronics Accessories","Vehicle Audio & Video Installation","Amplifier Installation","Noise Filters",NA,"Mpow Ground Loop Noise Isolator for Car Audio/Home Stereo System with 3.5mm Audio Cable (Black)","Mpow","B019393MV2",9.29,NA,NA,NA,NA,0.0818181818181818
"187","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Accident Protection Plan for Fire 7 Tablet (2019 release, delivered via e-mail)","SquareTrade","B07N4QXT9W",9.99,NA,NA,NA,NA,0.4
"188","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Accident Protection Plan for Fire 7 Tablet (2019 release, delivered via e-mail)","SquareTrade","B07N4RDFFS",14.99,NA,NA,NA,NA,0.416666666666667
"189","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Protection Plan plus Accident Protection for Echo Show 8  (2019 release, delivered via e-mail)","SquareTrade","B07SG7PYYF",14.99,NA,NA,NA,NA,0.454545454545455
"193","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Protection Plan plus Accident Protection for Echo Show 8 (2019 release, delivered via e-mail)","SquareTrade","B07SJ9GXH8",12.99,NA,NA,NA,NA,0.333333333333333
"194","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Protection Plan plus Accident Protection for Echo Show 8 (2019 release, delivered via e-mail)","SquareTrade","B07SG7P8RY",17.99,NA,NA,NA,NA,0.357142857142857
"198","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Protection Plan plus Accident Protection for Echo 3rd-Gen  (2019 release, delivered via e-mail)","SquareTrade","B07PLFLMRB",14.99,NA,NA,NA,NA,0.454545454545455
"199","Home & Kitchen","Home Decor","Clocks","Wall Clocks",NA,NA,NA,"Citizen Clocks CC5012 Citizen Smart Echo Compatible Wall Clock with Multiple Timers, Silver","Citizen Clocks","B07TCR1PD6",63.99,NA,NA,NA,NA,0.0818181818181818
"200","Amazon Devices & Accessories","Amazon Device Accessories","Mounts",NA,NA,NA,NA,"""Made for Amazon"" Outlet Shelf for Amazon Echo Devices - White","EchoGear","B07JF63SJH",14.99,NA,NA,NA,NA,0.0818181818181818
"207","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Protection Plan plus Accident Protection for Echo 3rd-Gen (2019 release, delivered via e-mail)","SquareTrade","B07PFYQ9KL",12.99,NA,NA,NA,NA,0.333333333333333
"208","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Protection Plan plus Accident Protection for Echo 3rd-Gen (2019 release, delivered via e-mail)","SquareTrade","B07PLFLXBX",17.99,NA,NA,NA,NA,0.357142857142857
"210","Electronics","eBook Readers & Accessories","Covers",NA,NA,NA,NA,"All-new Kindle Paperwhite Water-Safe Fabric Cover (10th Generation-2018), Charcoal Black","Amazon","B078TMQWKR",29.99,0.35,6.6,4.7,0.5,0.0818181818181818
"211","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"2-Year Accident Protection for Kindle Paperwhite (10th generation)","SquareTrade","B07G24GXJN",24.99,NA,NA,NA,NA,0.454545454545455
"212","Electronics","eBook Readers & Accessories","Screen Protectors",NA,NA,NA,NA,"NuPro Anti-Glare Screen Protector for Kindle Paperwhite (10th Generation-2018) 2-Pack","Nupro","B07GYTSYB6",12.99,0.1,NA,NA,NA,0.0818181818181818
"213","Electronics","eBook Readers & Accessories","Covers",NA,NA,NA,NA,"All-new Kindle Paperwhite Premium Leather Cover (10th Generation-2018), Rustic","Amazon","B078TYTY6Y",59.99,0.35,6.6,4.7,0.5,0.0818181818181818
"221","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Accident Protection for Kindle Paperwhite (10th generation)","SquareTrade","B07G2DLZT1",19.99,NA,NA,NA,NA,0.344827586206897
"222","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Accident Protection for Kindle Paperwhite (10th generation)","SquareTrade","B07G1SWVMZ",29.99,NA,NA,NA,NA,0.416666666666667
"223","Amazon Devices & Accessories","Amazon Device Accessories","Memory Cards",NA,NA,NA,NA,"""Made for Amazon"" SanDisk 16 GB micro SD Memory Card for Fire Tablets and Fire TV","SanDisk","B013TMN4GW",7.49,0.05,0.1,0.9,1.3,0.434782608695652
"224","Amazon Devices & Accessories","Amazon Device Accessories","Memory Cards",NA,NA,NA,NA,"""Made for Amazon"" SanDisk 64 GB micro SD Memory Card for Fire Tablets and Fire TV","SanDisk","B013TMNNDQ",13.86,0.05,0.1,0.9,1.3,0.588235294117647
"231","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"1-Year Accident Protection Plan for Kindle 10th Gen (2019 release)","SquareTrade","B07NPM39MH",9.99,NA,NA,NA,NA,0.333333333333333
"232","Amazon Devices & Accessories","Amazon Device Accessories","Protection Plans",NA,NA,NA,NA,"3-Year Accident Protection Plan for Kindle 10th Gen (2019 release)","SquareTrade","B07NPFBQ3Z",19.99,NA,NA,NA,NA,0.37037037037037
"235","Electronics","eBook Readers & Accessories","Screen Protectors",NA,NA,NA,NA,"NuPro Anti-Glare Screen Protector for Amazon Fire HD 10 Tablet (7th & 9th Generations - 2017 & 2019 releases) (2-Pack)","Nupro","B074PJXHN9",14.99,NA,NA,NA,NA,0.0818181818181818
