"","cat1","cat2","cat3","cat4","cat5","cat6","cat7","prodname","vendor","ASIN","price","weight_lb","dim1_in","dim2_in","dim3_in","rating"
"1119","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"Philips Avent Orthodontic Pacifier, 6-18 Months, Animal Design SCF182/24 (Colors and designs may vary), 2 count","Philips AVENT","B004LKRYM2",4.99,NA,NA,NA,NA,0.0818181818181818
"1120","Baby Products","Baby Care","Pacifiers, Teethers & Teething Relief","Pacifiers",NA,NA,NA,"FSA or HSA eligible item","Philips AVENT","B001L2SA3A",5.99,NA,NA,NA,NA,0.0818181818181818
"1121","Baby Products","Nursery","Furniture","Furniture Collections",NA,NA,NA,"Graco Benton 4-in-1 Convertible Crib (Pebble Gray) – Easily Converts to Toddler Bed, Daybed or Full-Size Bed with Headboard, 3-Position Adjustable Mattress Support Base","Storkcraft","B010S7VZ6W",159.99,NA,NA,NA,NA,0.0818181818181818
"1122","Baby Products","Nursery","Bedding","Baby Bedding","Crib Bedding","Mattress Pads",NA,"Milliard 2-Inch Ventilated Memory Foam Crib/Toddler Bed Mattress Topper with Removable Waterproof 65-Percent Cotton Non-Slip Cover - 51.5"" x 27"" x 2""","Milliard","B0089ME1K6",46.99,NA,NA,NA,NA,0.0818181818181818
"1123","Baby Products","Nursery","Bedding","Mattresses","Crib Mattresses",NA,NA,"Delta Children Twinkle Stars Fiber Core Crib and Toddler Mattress | Waterproof | Lightweight | GREENGUARD Gold Certified (Natural/Non-Toxic)","Delta Children","B01GU9GI5A",54.99,NA,NA,NA,NA,1.5
"1124","Baby Products","Diapering","Changing Table Pads & Covers","Covers",NA,NA,NA,"Graco Premium Contoured Infant & Baby Changing Pad - Water Resistant, Safety Belt with Buckle Cover, Non-Skid Bottom, Fits Standard Size Changing Topper, White, One Size","Graco","B07Z18K282",24.99,NA,NA,NA,NA,0.0818181818181818
"1125","Baby Products","Nursery","Furniture","Changing & Dressing","Chests & Dressers",NA,NA,"Graco Benton 6 Drawer Dresser (White) – Easy New Assembly Process, Universal Design, Durable Steel Hardware and Euro-Glide Drawers with Safety Stops, Coordinates with Any Nursery","Stork Craft","B07R186FXW",12.9,NA,NA,NA,NA,0.0818181818181818
"1126","Baby Products","Nursery","Furniture","Furniture Collections",NA,NA,NA,"Graco Benton 4-in-1 Convertible Crib (White) – Easily Converts to Toddler Bed, Daybed or Full-Size Bed with Headboard, 3-Position Adjustable Mattress Support Base","Storkcraft","B00LFP61PW",159.99,NA,NA,NA,NA,0.0818181818181818
"1127","Baby Products","Nursery","Furniture","Changing & Dressing","Chests & Dressers",NA,NA,"Storkcraft 03704-101 Graco Hadley 4 Drawer (White) Nursery Dresser","Stork Craft","B07QYX1FGJ",269.99,NA,NA,NA,NA,0.0818181818181818
"1128","Baby Products","Nursery","Furniture","Cribs & Nursery Beds","Cribs",NA,NA,"Graco Hadley 4-in-1 Convertible Crib with Drawer, White, Easily Converts to Toddler Bed Day Bed or Full Bed, Three Position Adjustable Height Mattress, Some Assembly Required (Mattress Not Included)","Stork Craft","B07M98L1GK",84.47,NA,NA,NA,NA,0.0818181818181818
"1129","Baby Products","Nursery","Furniture","Cribs & Nursery Beds","Cribs",NA,NA,"Graco Solano 4-in-1 Convertible Crib and Changer with Drawer White, Fixed Side Crib, Solid Pine and Wood Product Construction, Converts to Toddler Bed Day Bed or Full Bed (Mattress Not Included)","Storkcraft","B0749VPKWB",249.99,NA,NA,NA,NA,0.0818181818181818
"1130","Baby Products","Nursery","Bedding","Baby Bedding","Playard Bedding",NA,NA,"American Baby Company Waterproof Fitted Quilted Crib and Toddler Protective Pad Cover, White (2 Count), for Boys and Girls","American Ba Company","B01LN4LPYQ",27.28,NA,NA,NA,NA,0.75
"1131","Baby Products","Nursery","Bedding","Baby Bedding","Playard Bedding",NA,NA,"American Baby Company Waterproof Fitted Quilted Crib and Toddler Protective Pad Cover, White (3 Count), for Boys and Girls","American Ba Company","B077K3YRK6",39.99,NA,NA,NA,NA,0.157894736842105
